address,version,token0,token1,decimals0,decimals1,fee
0xEb30e8fFCbD02FD4A14A52e28cd300698D00e2f7,3,0x92E187a03B6CD19CB6AF293ba17F2745Fd2357D5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0xe6f31409282902AA39BcfA06763EdD46C0a995a3,3,0x9E4780b64825024E510A54B8dD4EF58A54c4F73D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x6241541105DCD8291bF2cc43AD19c0c2fb78E301,3,0xb0dFd28d3CF7A5897C694904Ace292539242f858,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x95d3032852f7eA7D896330D2C73F6A7944c5F951,3,0xB8fA12f8409DA31A4fc43D15c4c78C33d8213B9B,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,3000
0x3E2cD79DB408061BBd6ea42483D333d7d44D229B,3,0x8Cc7e21a3E0c2426b614D2dFCE7b0CCfBCF7e856,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,500
0x5555B1b916E02f8D3D1A17f1Bc71877349F7E486,3,0x4e58333f0a13b2eAaEc8B19F3c48f4Bd0b37D1B7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0xddc9E703595AFC08Fd5ad049c4c129804a003177,3,0x4Cf89ca06ad997bC732Dc876ed2A7F26a9E7f361,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x07A6E955bA4345BAe83Ac2A6fAa771fddd8A2011,3,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,3000
0xACF35a1Ab6ede9C8e06A7001499c8e1e02073022,3,0x00059AE69c1622A7542EdC15E8d17b060fE307b6,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,3000
0x74723340c2e12E77b78e1A13Bc31A8f43ac99f0d,3,0x712361CdcC7FAA907e695Aa235E5B21C46916BA8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0x46D3c903149A3bff0c7c7DbDb0B6c6d885D51ab3,3,0x7feF6ea0f781E9eE4Fc8722605B0c874A4D29A5B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0xdCe6e7d5d400773C876689F10a5dcA6a438CCf88,3,0xb683D83a532e2Cb7DFa5275eED3698436371cc9f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0xD0039F24788DeC1386E7b2B78De3374AdB721343,3,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,18,18,3000
0xEC152a4868132e9B7E71446e6B82F61d4209c943,3,0x8052327F1BAF94A9DC8B26b9100f211eE3774f54,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,3000
0xe4b82dF044511A7162beA1f11119f6d1283A43a8,3,0x7BEF710a5759d197EC0Bf621c3Df802C2D60D848,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x1f14600E71bF9AdE32bF97E60A526266eb437ec8,3,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D,8,8,3000
0x201E6fc98Cda33649102915340723Ab2144a552f,3,0x1eA67aFEBE5f41022A2484eCB67E786d76447e3d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x2aaDfC5D4957A4eb4B6a143ADF4ec9244be70eb0,3,0x9bCDdeA1f98552413D32a3bE0BBC5672C32459d8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x58C2ae94565CC87000A62783C7915179951eB28e,3,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,10000
0x552dE0b5d94E4187e8D0CFF4fedec1AeC8CF8D56,3,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,8,18,3000
0xd7C13ee6699833B6641d3c5A4D842a4548030A82,3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xA991356d261fbaF194463aF6DF8f0464F8f1c742,6,6,500
0xced364623800F1ec98d8c19F9ab6f412148E5733,3,0xBf6Ff49FfD3d104302Ef0AB0F10f5a84324c091c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0xfb3B5A0E03Ae12C41492D70BD210E65D25CC01DC,3,0x9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0xACbcBFC1f3FEBB092D9f01d2CAfCBE216ebF8119,3,0x03DD1A67EF52107dd86B590Ec62aaf5048973647,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,500
0x0254A309F5140d457C0699E2CD0457A692a69cc4,3,0x66d28cb58487a7609877550E1a34691810A6b9FC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,8,18,10000
0xA89AE75F2bcd5b59566Bde15Bff02A40E9014D51,3,0x1cBb83EbcD552D5EBf8131eF8c9CD9d9BAB342bC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0xF720e786b92dD659C30D9B57b626e39d92935EEb,3,0x9209AdbE4cCd8EA010CC3B335190d1130e194e75,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0xB3BB26F55F58A46A2D5887b83B978FF88067e1dE,3,0x5E1a2015c09E8B1e415080E2783B9382093dad3d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x058e136bC597082589d2cf5d0d021e22B6556a9c,3,0x53868AC71297768254883b31AAdda7328B70fBe6,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,18,18,3000
0x7F4c9a9fd4aC78d0C8061fB69Be5de189ce98c46,3,0x82515F49309101999dbb7113971e2188E1D7A4eE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
